id,callnumber,mainentry,isbn,title,author,placeofpublication,publisher,year,edition,physicaldesc,series,notesarea,subject,addedentry,price,copies,date,note,source
69,BP153 .K45154 2012,Zulkifli Mohamad al-Bakri,9789675996177,Al Fiqh al-manhaji : $b muamalat dalam Fiqh Al-Syafi'i,"Zulkifli Mohamad al-Bakri, $d 1969-",,"Bandar Baru Bangi, Selangor : $b Darul Syakir Enterprise, $c 2012",,,652ms. ; $c 23cm.,,Mengandungi ayat-ayat dari Quran,Economics -- Religious aspects -- Islam -- Business -- Religious aspects -- Islam --,,,3,10/17/2022,pembelian,Library Materials
70,BP176 ZULMB,Suria Shafie.,9789831875018,Kasih di hujung rindu / Suria Shafie.,,,Pulau Pinang :?bRhythm Publishing,2005,,334 p. ;?c19 cm.,,,Malay fiction.,,,1,10/17/2022,Sumbangan,Library Materials
71,M 297.122 MAY,"Mohamed Ayob Yasin,",9789831313718,Memahami Al-Qur'an Petunjuk Kita : satu pemahaman mengikut sensitiviti Melayu.,"Mohamed Ayob Yasin,",Kuala Lumpur :,"DARULFIKIR ,",2013,,"x1, 768 pages ; 22cm",,,Koran-- Study,,,,10/17/2022,Sumbangan,Library Materials
72,KPG810 SAKSAY 2012,,9678913607,Mengenali undang-undang kontrak Malaysiaÿ,Sakina Shaik Ahmad Yusoff dan Azimon Abdul Aziz,Petaling Jaya,"International Law Book Services,",,,"?axxvi, 220 p. :?bill. ;?c24 cm.",,?aIncludes bibliographical references.,?aContracts?zMalaysia.,,,3,10/18/2022,pembelian,Library Materials
73,HN25 .M4195 2021,Matthew T.Lee,978-0-19-751253-1,Measuring well-being:interdisciplinary perspectives from the social sciences and the humanities,"Laura D.Kubzansky, and Tyler J.VanderWeele",New York,Oxford University Press,2021,,,,Includes bibliographical references and index.,well-being--research--methodology,,,3,10/19/2022,pembelian,Library Materials
74,HB135 .J32 2018,"Jacques, Lan",978-129-2191-66-9,Mathematics for economics and business,,united kingdom,Pearson education,2018,9 edition,,,Includes bibliographical references and index.,economics--mathematics--business mathematics,,,3,10/19/2022,pembelian,Library Materials
75,HF5681.B2 TAN,"Tan, Liong Tong",9789670853741,Financial accounting and reporting in Malaysia vol 1,,Kuala Lumpur,Wolters Kluwe,2019,7th edition,"xxxiii, 1030 pages : illustrations ; 26 cm.",,,Financial statements -- Malaysia Accounting -- Study and teaching -- Malaysia.,,,6,10/19/2022,pembelian,Library Materials
76,HF5635.M38.T36 2015,"Tan, Liong Tong",9789670853888,Financial accounting and reporting in Malaysia vol 2,,Kuala Lumpur,Wolters Kluwe,2020,7th edition,"ÿxix, 1282ÿpages ;ÿ26 cm.",,,Accounting--Malaysia|financial statements--Malaysia,,,3,10/19/2022,,Library Materials
77,HF5636 W668F 2022,"Wild, John J.",9789814595018 (paperback),Principles of financial accounting,"John J. Wild, Winston Kwok, Ken W. Shaw, Barbara Chiappetta",New York,McGraw-Hill Education,2022,3rd edition,"xxvi, various pagings : illustrations ; 28 cm.",,,,,,3,10/19/2022,,Library Materials
78,BP144.1A1353P 2022,Irwan mohd subri,9789674403898,Pengantar usul fiqh,Azman ab Rahman,Selangor,Universiti Islam Malaysia,2022,,,,,Islamic law--Interpretation and construction islamic law,,,3,10/19/2022,,Library Materials
79,HG4026 F491R 2021,Rodziah Abd Samad,9789675771002 (pbk.),Financial management for beginners,Shelia Christabel,"Shah Alam, Selangor","McGraw-Hill (Malaysia),",2021,3rd ed.,"xiv, 446 p. : ill. ;26 cm.",,Includes bibliographical references and index.,Business enterprises-- Finance-- Corporations,,,3,10/19/2022,,Library Materials
80,LB2846.C482 2021,"Piaw, Chuan Yan",9789670761-49-7,kaedah dan statistik penyelidikan buku 1: kaedah penyelidikan,,kuala lumpur,"McGraw-Hill (Malaysia),",2021,4 edition,"xvi, 221ÿp. : ill. ; 27 cm.",,,Educational statisticsÿ|ÿSocial sciencies -- Statistical methodsÿ|ÿResearch -- Methodology,,,3,21/10/1022,,Library Materials
81,HG187.4 .H33 2018,Syeda Fahmida Habib,97811193700-7,Fundamentals of islamic finance and banking,"Habib, Syeda Fahmida","Chichester, West Sussex, United Kingdomÿ",wiley,2018,,"1 online resource (xxvi, 284 pages) :?billustrations",,Bibliography: pages 271-275.,aFinance?xReligious aspects?xIslam. Finance?zIslamic countries.aBanks and banking?xReligious aspects?xIslam.Banks and banking?zIslamic countries.,,,3,10/21/2022,,Library Materials
82,HA29.C564 2021,"Piaw, Chuan Yan",9789670761510,kaedah dan statistik penyelidikan buku 2: asas statistik penyelidikan,,kuala lumpur,"McGraw-Hill (Malaysia),",2021,4 edition,"xxiii, 541 pages : illustrations ; 26 cm.",,,Educational statisticsÿ|ÿSocial sciencies -- Statistical methodsÿ|ÿResearch -- Methodology,,,3,21/10/1022,,Library Materials
83,PJ6068.M3 .R39 2017,Radziah Ismail,9789674404116,Bahasa arab : modul Diploma Siswazah Pengajian Islam,"'Aisyah Nabilah Md Tahir, Manal Jusoh @ Mohamad Daud, Nur Hafizah Abd Aziz, Siti Salma Wahiduddin.","Bandar Baru Nilai, Negeri Sembilan","Penerbit USIM,",2017,,"x, 140 pages, :ill 25 cm.",,Includes bibliographical references and index,"Arabic language-- Study and teaching--Arabic language-- Problems, exercises.--Government publications",,,2,10/21/2022,,Library Materials
84,BP166.78 .P46 2020,Ahmad Najaa' Mokhtar,9789674405298,Pengantar akidah Islam :Modul Diploma Siswazah Pengajian Islam,"Mohd Radhi Ibrahim, Wan Mohd Fazrul Azdi Wan Razali, Yuseri Ahmad, Marina Munira Abd Mutalib,","Bandar Baru Nilai, Negeri Sembilan:","Penerbit USIM,",2020,,"x, 126 pages ; 24 cm.",,Includes bibliographical references and index,Islam-- Doctrines-- Study and teaching.--Faith (Islam)-- Study and teaching.--Government publications,,,2,10/21/2022,,Library Materials
85,HF5387.C73 2019,"CRANE, ANDREW",978-0-19-881007-0,BUSINESS ETHICS,"MATTEN, DIRK, GLOZER,SARAH, SPENCE LAURA",Oxford,Oxford University Press,2019,5,"xx, 484 p. :|bill. ;|c24 cm.",,Includes bibliographical references (p. [449]-467) and,Business ethics,,,2,10/26/2022,,Library Materials
86,DS595.H83 2017,ZAID AHMAD,978-983-47-2140-4,HUBUNGAN ETNIK DI MALAYSIA,"RUSLAN ZAINUDDIN, SARJIT SINGH GILL,AHMAD TARMIZI TAIB, HO HUI LING, LEE YOK FEE, NAJEEMAH MOHD YUSOF, NAZRI MUSLIM","Shah Alam, Selangorÿ",Oxford Fajar Sdn. Bhd,2017,4,"xix, 276 pages : 26 cm.",,Bibliographies;ÿNon-fiction,MALAYSIA--ETHNIC RELATIONS MALAYSIA-- RACE RELATIONS MALAYSIA--POLITICS AND GOVERNMENT,,,,,,Library Materials
87,C63.7.C65 M834 2016,"Muhammad Ridhwan Ab. Aziz,ÿ",9789674403010,ISLAMIC COMMERCIAL LAW (FIQH MUAMALAT): THEORY AND APPLICATION OF SELECTED CONTRACTS,,"Bandar Baru Nilai, Negeri Sembilan",USIM Press,2016,,284 pages : illustrations ; 23 cm.,,Bibliographies;ÿIndexes;ÿNon-fiction,COMMERCIAL LAW (ISLAMIC LAW)--FINANCE (ISLAMIC LAW)--ECONOMICS--RELIGIOUS ASPECTS--ISLAM,,,3,10/26/2022,,Library Materials
88,BP180 WANMWA,Wan Marhaini Wan Ahmad,9789674882143,Development of zakat in Malaysia : past and present,Luqman Haji Abdullah,Kuala Lumpur,UM Press,2022,,"xvii, 146 pages : illustrations ; 23 cm",,,ZAKAT--MALAYSIA.--ISLAM--CHARITIES--ISLAMIC GIVING--ZAKAT (ISLAMIC LAW)--MALAYSIA,,,3,10/26/2022,,Library Materials
89,DS595 .M63 2017,Shamsul Amri Baharuddin.,97896710191401,Modul hubungan etnikÿ,Shamsul Amri Baharuddin,"ÿBangi, Selangorÿ",UNIVERSITI KEBANGSAAN MALAYSIA,2012,2,"xvi, 256 pages : illustrations ; 23 cm.",,ÿtextÿMedia type:ÿunmediatedÿCarrier type:ÿvolume,ETHNICITY--MALAYSIA|PLURALISM (SOCIAL SCIENCES)--MALAYSIA | MALAYSIA --ETHNIC RELATIONS | MALAYSIA--SOCIAL LIFE AND CUSTOMS,,,3,10/26/2022,,Library Materials
90,BP 190.5 .M26 M6 2019,Seyed Mohammad Moghimi,978-1-78769-674-7,Principles and fundamentals of islamic management,,United kingdom,Emerald Publishing,2019,,"axvii,279 pages: illustrations; 24 cm.",,Includes bibliographical references and index,Islam --ÿ>ÿManagement Management --ÿ>ÿReligious aspects --ÿ>ÿIslam,,,2,10/27/2022,,Library Materials
91,DS36.85 .A376 2015,Ahmad Zaki Abd. Latif,978-983-47-1512-0,Tamadun Islam dan Tamadun Asia (TITAS),"Azam Hamzah, Azhar Mad Aros",Shah Alam,Oxford Fajar Sdn. Bhd,2015,3edition,"xi,223 pages : illustrations ; 24 cm.",,Includes bibliographical references and index.,Asia -- Civilization -- Western influences.,,,3,10/27/2022,,Library Materials
92,DS596 .M35 2022,Mardiana Nordin,9789672605126,pengajian malaysia,Hasnah Hussiin,Kuala Lumpur,MaxUnion Publication,2022,,383 p. : ill. ; 24 cm.,,,Malaysia--History Malaysia--Race relations Malaysia--Economic conditions,,,2,10/28/2022,,Library Materials
93,DS650.83.H37 A33 2017,"Abdul Aziz Juned, Pehin Datu Seri Maharaja Dato Paduka Seri Setia Ustaz Haji Awang",9789991760537,Raja Melakar Sejarah,Pehin Datu Seri Maharaja Dato Paduka Seri Setia Dr. Ustaz Haji Awang Abdul Aziz Bin Juned,Brunei :,"Jabatan Mufti Kerajaan, Jabatan Perdana Menteri,",2017,Cetakan Pertama,"|a xix, 436 p. : |b ill. (col.) |c 23 cm.",,Pesambah sempena Jubli Emas Raja menaiki takhta Includes bibliographical references.,Brunei Darussalam -- History Sultans -- Brunei Darussalam -- History Brunei Darussalam -- Kings and rulers -- History Islam and state -- Brunei Darussalam Brunei Darussalam -- Politic and government,,,1,30/9/2021,,Waqaf Brunei
94,DS650.83.H37 A33 2017,"Abdul Aziz Juned, Pehin Datu Seri Maharaja Dato Paduka Seri Setia Ustaz Haji Awang",9789991760551,The King Who Shapes History,Pehin Datu Seri Maharaja Dato Paduka Seri Setia Dr. Ustaz Haji Awang Abdul Aziz Bin Juned,Brunei :,"Jabatan Mufti Kerajaan, Jabatan Perdana Menteri,",2017,Cetakan Pertama,"|a xxi, 403 p. : |b ill. (col.) |c 23 cm.",,"A tribute in conjunction with the Golden Jubilee of the King's ascension to the throne.
Includes bibliographical references.",Brunei Darussalam -- History Sultans -- Brunei Darussalam -- History Brunei Darussalam -- Kings and rulers -- History Islam and state -- Brunei Darussalam Brunei Darussalam -- Politic and government,,,1,30/9/2021,,Waqaf Brunei
95,DS650.83.H37 A36 2001,"Abdul Aziz Juned, Pehin Datu Seri Maharaja Dato Paduka Seri Setia Ustaz Haji Awang",9991733361 9789991733364,"Mushaf, Tasbih, Tongkat : Koleksi Sultan Haji Hassanal Bolkiah Mu'izzaddin Waddaulah","Pehin Datu Seri Maharaja Dato Paduka Seri Setia Dr. Ustaz Haji Awang Abdul Aziz Bin Juned, Ustaz Awang Haji Ahmad Asri Lubis Bin Haji Abusamah (Penterjemah Bahasa Arab), Awang Haji Mohamad Amin Bin Hassan (Penterjemahan Bahasa Inggeris)",Brunei :,"Jabatan Mufti Kerajaan, Jabatan Perdana Menteri,",2001,Cetakan Pertama,"|a xxiv, 376 p. :|b ill. (col.) |c 33 cm.",,Includes bibliographical references and index.,"Beads -- Religious aspects -- Islam --
Islamic rosary --
Koran -- Manuscripts -- Catalogs --","Ahmad Asri Lubis Abu Samah
Mohamad Amin Bin Hassan, Awang Haji",,1,15/10/2021,,Waqaf Brunei
96,DS650.54 .A23 2017,"Abdul Aziz Juned, Pehin Datu Seri Maharaja Dato Paduka Seri Setia Ustaz Haji Awang",9789991760568,As-Siya?sah Asy-Syar'iyyah : Fatwa Mufti Kerajaan Negara Brunei Darussalam,Pehin Datu Seri Maharaja Dato Paduka Seri Setia Dr. Ustaz Haji Awang Abdul Aziz Bin Juned,Brunei :,"Jabatan Mufti Kerajaan, Jabatan Perdana Menteri,",2017,Cetakan Pertama,"|a xiii, 400 p. ; |c 23 cm.",Fatwa Mufti Kerajaan Negara Brunei Darussalam.,"In Malay, with some text in Arabic.",Muslims -- Religious life. Brunei -- Politics and government. Brunei -- Social conditions. Brunei -- Social life and customs.,,,1,15/10/2021,,Waqaf Brunei
97,BP183.3 AZI 2016,"Abdul Aziz Juned, Pehin Datu Seri Maharaja Dato Paduka Seri Setia Ustaz Haji Awang",9789991733746,Orang Sembahyang Ditangisi Oleh Tempat Sujudnya,Pehin Datu Seri Maharaja Dato Paduka Seri Setia Dr. Ustaz Haji Awang Abdul Aziz Bin Juned,Brunei :,"Jabatan Mufti Kerajaan, Jabatan Perdana Menteri,",2016,Cetakan Keempat,"|a xix, 156 p. : |b ill. (col) ; |c 25 cm.",,Includes bibliographical references. In Malay.,Prayer -- Islam.,,,1,15/10/2021,,Waqaf Brunei
98,KNK104 .A33 2011,,9991733922 9789991733920,Animal Slaughter and Handling of Meat,,Bandar Seri Begawan :,"State Mufti's Office, Prime Minister's Office, Brunei Darussalam,",2011,First Print,"|a xix, 311 p. ; |c 26 cm.",Fatwa of the State Mufti.,Some text in Arabic.,"Slaughtering and slaughter -- houses -- Law and legislation -- Brunei.
Slaughtering and slaughter -- houses (Islamic law) -- Brunei. Administrative regulations.",Brunei. Jabatan Mufti Kerajaan,,1,15/10/2021,,Waqaf Brunei
99,KBP492 . I78 2014,,9789991760216,Irsyad Hukum 2013 : Himpunan Siri Bimbingan Hukum di Pelita Brunei,,Brunei :,"Jabatan Mufti Kerajaan, Jabatan Perdana Menteri,",2014,Cetakan Pertama,"|a xv, 290 p. ; |c 26 cm.",,"In Malay, with some text in Arabic.","Islamic law.
Fatwas.
Religious life -- Islam.",Brunei. Jabatan Mufti Kerajaan,,1,18/10/2021,,Waqaf Brunei
100,KBP492 . I78 2016,,9789991760575,Irsyad Hukum 2016 : Himpunan Siri Bimbingan Hukum di Pelita Brunei,,Brunei :,"Jabatan Mufti Kerajaan, Jabatan Perdana Menteri,",2016,Cetakan Pertama,"|a xv, 326 p. ; |c 26 cm.",,"In Malay, with some text in Arabic.","Islamic law.
Fatwas.
Religious life -- Islam.",Brunei. Jabatan Mufti Kerajaan,,1,18/10/2021,,Waqaf Brunei
101,BP184.6 IBA 2010,,9991733566 9789991733562,Ibadat Korban : Hukum & Cara Pengendaliannya,,Bandar Seri Begawan :,"State Mufti's Office, Prime Minister's Office, Brunei Darussalam,",2013,Cetakan Keenam,"|a xv, 81 p. ; |c 26 cm.",,"In Malay, with some text in Arabic.","Sacrifice -- Islam
??d al-A??? -- Brunei
Islam -- Rituals.",Brunei. Jabatan Mufti Kerajaan,,1,18/10/2021,,Waqaf Brunei
102,KBP3130.5 .A23 2015,"Abdul Aziz Juned, Pehin Datu Seri Maharaja Dato Paduka Seri Setia Ustaz Haji Awang",9789991733463,Rokok & Merokok,Pehin Datu Seri Maharaja Dato Paduka Seri Setia Dr. Ustaz Haji Awang Abdul Aziz Bin Juned,Brunei :,"Jabatan Mufti Kerajaan, Jabatan Perdana Menteri,",2015,Cetakan Ketiga,"|a xv, 101 p. : |b ill. (col.) ; |c 26 cm.",Fatwa Mufti Kerajaan.,In Malay and bibliographical references in Arabic.,"Smoking (Islamic law) -- Brunei
Smoking (Islamic law)
Brunei.",Brunei. Jabatan Mufti Kerajaan,,1,18/10/2021,,Waqaf Brunei
103,BP190.5.P79 AZI 2012,"Abdul Aziz Juned, Pehin Datu Seri Maharaja Dato Paduka Seri Setia Ustaz Haji Awang",9991733574 9789991733579,Kerasukan : Merawat dan Mencegahnya,Pehin Datu Seri Maharaja Dato Paduka Seri Setia Dr. Ustaz Haji Awang Abdul Aziz Bin Juned,Brunei :,"Jabatan Mufti Kerajaan, Jabatan Perdana Menteri,",2012,Cetakan Keenam,"|a xv, 114 p. ; |c 26 cm.",,"In Malay, with some text in Arabic.","Psychotherapy -- Religious aspects -- Islam
Demoniac possession -- Brunei.",,,1,18/10/2021,,Waqaf Brunei
104,BP190.5.P79 AZI 2016,"Abdul Aziz Juned, Pehin Datu Seri Maharaja Dato Paduka Seri Setia Ustaz Haji Awang",9789991760407,Possessed! Its Treatment and Prevention,Pehin Datu Seri Maharaja Dato Paduka Seri Setia Dr. Ustaz Haji Awang Abdul Aziz Bin Juned,Brunei :,"State Mufti's Office, Prime Minister's Office, Brunei Darussalam,",2016,Second Print,"|a xv, 116 p. ; |c 25 cm.",,"In Malay, with some text in Arabic.","Psychotherapy -- Religious aspects -- Islam
Demoniac possession -- Brunei.",,,1,18/10/2021,,Waqaf Brunei
105,BP174 I87 2007,,9991733698 9789991733692,Isu-Isu Produk Halal,,Brunei :,"Jabatan Mufti Kerajaan, Jabatan Perdana Menteri,",2007,Cetakan Kedua,"|a xv, 306 p. ; |c 25 cm.",Fatwa Mufti Kerajaan.,"Jabatan Mufti Kerajaan, Jabatan Perdana Menteri,",Islam -- Customs and practices Food -- Religious aspects -- Islam Muslims -- Dietary laws Islamic law -- Sources Manufactures -- Religious aspects -- Islam,,,1,18/10/2021,,Waqaf Brunei
106,,Al-Iman Jalaluddin as-Suyuthi,9991733388 9789991733388,100 Keistimewaan Malam & Hari Jumaat,"Al-Iman Jalaluddin as-Suyuthi, Hj. Mohd. Nur Lubis. (penterjemah)",Brunei :,"Jabatan Mufti Kerajaan, Jabatan Perdana Menteri,",2013,Cetakan Ketujuh,"|a xxxix, 228 p. ; |c 26cm.",,,"Jum?ah.
Religious calendars -- Islam.
Islam -- Customs and practices.",Hj. Mohd. Nur Lubis,,1,18/10/2021,,Waqaf Brunei
107,BP148 . R39 2009,,999173340X 9789991733401,"Rawatan & Kesihatan : Himpunan Fatwa Mufti Kerajaan Negara Brunei Darussalam Mengenai Amalan, Rawatan, dan Kesihatan 1962 - 2001","Ismail bin Omar Abdul Aziz, Pehin Datu Seri Maharaja Dato Seri Utama Awang Haji (Contributor)
Abdul Aziz bin Awang Juned, Pehin Tuan Imam Dato Paduka Seri Setia Haji Awang (Contributor)",Bandar Seri Begawan :,"Jabatan Mufti Kerajaan, Jabatan Perdana Menteri,",2007,Cetakan Keempat,"|a xv, 291 p. ; |c 26 cm.",Fatwa Mufti Kerajaan Negara Brunei Darussalam.,"In Malay, with some text in Arabic.","Health -- Religious aspects -- Islam
Medicine -- Religious aspects -- Islam
Brunei.","Ismail bin Omar Abdul Aziz, Pehin Datu Seri Maharaja Dato Seri Utama Awang Haji (contributor)
Abdul Aziz bin Awang Juned, Pehin Tuan Imam Dato Paduka Seri Setia Haji Awang (contributor)",,1,18/10/2021,,Waqaf Brunei
108,BP166.72 .R39 2009,,9789991760292,"Rawatan & Kesihatan 2 : Himpunan Fatwa Mufti Kerajaan Negara Brunei Darussalam Mengenai Amalan, Rawatan, dan Kesihatan 2002 - 2013","Ismail bin Omar Abdul Aziz, Pehin Datu Seri Maharaja Dato Seri Utama Awang Haji (Contributor)
Abdul Aziz bin Awang Juned, Pehin Tuan Imam Dato Paduka Seri Setia Haji Awang (Contributor)",Brunei :,"Jabatan Mufti Kerajaan, Jabatan Perdana Menteri,",2015,Cetakan Pertama,"|a xi, 262 p. ; |c 26 cm.",Fatwa Mufti Kerajaan Negara Brunei Darussalam.,In Malay.,"Health -- Religious aspects -- Islam.
Medicine -- Religious aspects -- Islam.","Ismail bin Omar Abdul Aziz, Pehin Datu Seri Maharaja Dato Seri Utama Awang Haji (contributor)
Abdul Aziz bin Awang Juned, Pehin Tuan Imam Dato Paduka Seri Setia Haji Awang (contributor)",,1,18/10/2021,,Waqaf Brunei
109,BP166.8 .A2396 2017,"Abdul Aziz Juned, Pehin Datu Seri Maharaja Dato Paduka Seri Setia Ustaz Haji Awang",9789991760506,Jambatan Ke Akhirat,Pehin Datu Seri Maharaja Dato Paduka Seri Setia Dr. Ustaz Haji Awang Abdul Aziz Bin Juned,Bandar Seri Begawan :,"Jabatan Mufti Kerajaan, Jabatan Perdana Menteri,",2017,Cetakan Kesepuluh,"|a xiii, 184 p. ; |c 25 cm.",,Mengandungi ayat-ayat dari Quran. Includes bibliographical references.,"Islamic eschatology.
Future life -- Islam.
Death -- Religious aspects -- Islam.
Islam -- Doctrines.",,,1,18/10/2021,,Waqaf Brunei
110,BP148 . F38 2012,"Abdul Aziz Juned, Pehin Datu Seri Maharaja Dato Paduka Seri Setia Ustaz Haji Awang",9991733299,Fatwa Mufti Kerajaan 1994 - 1995,Pehin Datu Seri Maharaja Dato Paduka Seri Setia Dr. Ustaz Haji Awang Abdul Aziz Bin Juned,Brunei :,"Jabatan Mufti Kerajaan, Jabatan Perdana Menteri,",2012,Cetakan Ketiga,"|a xvii, 248 p. ; |c 25 cm.",,Mengandungi ayat-ayat dari Quran. Includes bibliographical references in Arabic.,"Fatwas -- Brunei.
Islamic law -- Brunei.
Islam and state -- Brunei.",,,1,18/10/2021,,Waqaf Brunei
111,BP148 . F38 2010,"Abdul Aziz Juned, Pehin Datu Seri Maharaja Dato Paduka Seri Setia Ustaz Haji Awang",9991733477,Fatwa Mufti Kerajaan 1996,Pehin Datu Seri Maharaja Dato Paduka Seri Setia Dr. Ustaz Haji Awang Abdul Aziz Bin Juned,Brunei :,"Jabatan Mufti Kerajaan, Jabatan Perdana Menteri,",2010,Cetakan Ketiga,"|a xix, 445 p. ; |c 25 cm.",,Mengandungi ayat-ayat dari Quran. Includes bibliographical references in Arabic.,"Fatwas -- Brunei.
Islamic law -- Brunei.
Islam and state -- Brunei.",,,1,18/10/2021,,Waqaf Brunei
112,BP148 . F38 2001,"Abdul Aziz Juned, Pehin Datu Seri Maharaja Dato Paduka Seri Setia Ustaz Haji Awang",9991733051,Fatwa Mufti Kerajaan 1997,Pehin Datu Seri Maharaja Dato Paduka Seri Setia Dr. Ustaz Haji Awang Abdul Aziz Bin Juned,Brunei :,"Jabatan Mufti Kerajaan, Jabatan Perdana Menteri,",2001,Cetakan Kedua,"|a v, 246 p. ; |c 25 cm.",,Mengandungi ayat-ayat dari Quran. Includes bibliographical references in Arabic.,"Fatwas -- Brunei.
Islamic law -- Brunei.
Islam and state -- Brunei.",,,1,18/10/2021,,Waqaf Brunei
